--- Experiment 1: g_cost_phi1 variations ---
ANOVA g_lever: p=4.788e-01
  g_lever 0.25 vs 0.5: p=2.982e-01 (adj=1.000e+00)
  g_lever 0.25 vs 0.75: p=6.630e-02 (adj=6.630e-01)
  g_lever 0.25 vs 1.0: p=3.357e-01 (adj=1.000e+00)
  g_lever 0.25 vs 1.25: p=4.202e-01 (adj=1.000e+00)
  g_lever 0.5 vs 0.75: p=5.097e-01 (adj=1.000e+00)
  g_lever 0.5 vs 1.0: p=8.833e-01 (adj=1.000e+00)
  g_lever 0.5 vs 1.25: p=7.530e-01 (adj=1.000e+00)
  g_lever 0.75 vs 1.0: p=3.532e-01 (adj=1.000e+00)
  g_lever 0.75 vs 1.25: p=2.532e-01 (adj=1.000e+00)
  g_lever 1.0 vs 1.25: p=8.565e-01 (adj=1.000e+00)
ANOVA fcrit_lever: p=2.257e-178
  fcrit_lever 0.25 vs 0.5: p=2.388e-35 (adj=2.388e-34)
  fcrit_lever 0.25 vs 0.75: p=2.023e-56 (adj=2.023e-55)
  fcrit_lever 0.25 vs 1.0: p=2.438e-71 (adj=2.438e-70)
  fcrit_lever 0.25 vs 1.25: p=4.400e-81 (adj=4.400e-80)
  fcrit_lever 0.5 vs 0.75: p=2.852e-42 (adj=2.852e-41)
  fcrit_lever 0.5 vs 1.0: p=2.912e-64 (adj=2.912e-63)
  fcrit_lever 0.5 vs 1.25: p=8.350e-77 (adj=8.350e-76)
  fcrit_lever 0.75 vs 1.0: p=7.655e-52 (adj=7.655e-51)
  fcrit_lever 0.75 vs 1.25: p=5.637e-71 (adj=5.637e-70)
  fcrit_lever 1.0 vs 1.25: p=2.102e-57 (adj=2.102e-56)
ANOVA PE_abs: p=6.318e-01
  PE_abs 0.25 vs 0.5: p=8.324e-01 (adj=1.000e+00)
  PE_abs 0.25 vs 0.75: p=4.302e-01 (adj=1.000e+00)
  PE_abs 0.25 vs 1.0: p=5.498e-01 (adj=1.000e+00)
  PE_abs 0.25 vs 1.25: p=5.774e-01 (adj=1.000e+00)
  PE_abs 0.5 vs 0.75: p=3.370e-01 (adj=1.000e+00)
  PE_abs 0.5 vs 1.0: p=7.101e-01 (adj=1.000e+00)
  PE_abs 0.5 vs 1.25: p=7.699e-01 (adj=1.000e+00)
  PE_abs 0.75 vs 1.0: p=1.841e-01 (adj=1.000e+00)
  PE_abs 0.75 vs 1.25: p=1.606e-01 (adj=1.000e+00)
  PE_abs 1.0 vs 1.25: p=8.903e-01 (adj=1.000e+00)
ANOVA G_td: p=4.884e-181
  G_td 0.25 vs 0.5: p=7.792e-35 (adj=7.792e-34)
  G_td 0.25 vs 0.75: p=6.777e-57 (adj=6.777e-56)
  G_td 0.25 vs 1.0: p=4.805e-72 (adj=4.805e-71)
  G_td 0.25 vs 1.25: p=2.184e-79 (adj=2.184e-78)
  G_td 0.5 vs 0.75: p=2.525e-43 (adj=2.525e-42)
  G_td 0.5 vs 1.0: p=1.319e-65 (adj=1.319e-64)
  G_td 0.5 vs 1.25: p=7.191e-76 (adj=7.191e-75)
  G_td 0.75 vs 1.0: p=3.984e-54 (adj=3.984e-53)
  G_td 0.75 vs 1.25: p=8.185e-71 (adj=8.185e-70)
  G_td 1.0 vs 1.25: p=4.263e-58 (adj=4.263e-57)
